# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
68000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
69000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
70000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
71000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
72000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
73000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
74000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
75000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
76000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
77000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
78000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
79000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
80000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
81000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
82000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
83000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
84000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
85000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
86000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
87000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
88000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
89000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
90000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
91000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
92000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
93000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
94000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
95000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
96000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
97000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
98000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
99000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
100000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
101000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
102000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
103000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
104000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
105000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
106000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
107000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
108000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
109000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
110000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
111000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
112000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
113000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
114000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
115000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
116000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
117000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
118000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
119000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
120000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
121000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
122000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
123000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
124000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
125000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
126000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
127000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
128000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C30H38O4N2	C19H20O4	
129000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
130000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
131000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
132000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
133000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
134000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C30H38O4N2	C19H20O4	
135000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
136000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
137000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
138000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
139000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
140000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
141000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
142000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	C11H18N2	
143000          5          3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
144000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
145000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
146000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
147000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
148000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
149000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
150000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
151000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
152000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
153000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
154000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
155000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
156000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
157000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
158000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
159000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
160000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
161000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
162000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
163000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
164000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
165000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
166000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
167000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
168000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
169000          4          2	 2	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C30H38O4N2	
170000          4          2	 2	 2	
