Step,f11,f12,f13,f14,D1,E1,D1E1,D1E2,H2O,Other
400000, 100, 150, 0, 50, 1, 1, 1, 0, 0, 1
410000, 100, 150, 0, 50, 1, 1, 1, 0, 0, 1
420000, 100, 150, 0, 50, 1, 1, 1, 0, 0, 1
430000, 100, 150, 0, 50, 1, 1, 1, 0, 0, 1
440000, 100, 150, 0, 50, 1, 1, 1, 0, 0, 1
450000, 100, 150, 0, 50, 1, 1, 1, 0, 0, 1
460000, 100, 150, 0, 50, 1, 1, 1, 1, 0, 1
470000, 100, 150, 0, 50, 1, 1, 1, 0, 0, 1
480000, 100, 150, 0, 50, 1, 1, 1, 0, 0, 1
490000, 100, 150, 0, 50, 1, 1, 1, 0, 0, 1
500000, 100, 150, 0, 50, 1, 1, 1, 0, 0, 1
