#DETDA molecule
936 atoms
4 atom types

-5.0000000000000000e+01 5.0000000000000000e+01 xlo xhi
-5.0000000000000000e+01 5.0000000000000000e+01 ylo yhi
-5.0000000000000000e+01 5.0000000000000000e+01 zlo zhi

Masses

1 12
2 1.008
3 15.999
4 14

Atoms

1 1 0  -432.510000    57.560300  -465.302000 
2 2 0  -433.032000    56.593400  -465.136000 
3 1 0  -432.402000    57.931500  -466.810000 
4 2 0  -431.520000    57.541600  -464.771000 
5 2 0  -434.895000    57.298500  -466.015000 
6 1 0  -433.563000    57.704100  -467.609000 
7 1 0  -433.323000    57.919400  -469.025000 
8 4 0  -434.832000    57.330800  -467.080000 
9 2 0  -435.332000    57.818000  -469.827000 
10 2 0    23.588800    -9.454270    52.499500 
11 2 0    24.598200    -9.248730    50.285200 
12 2 0  -435.562000    57.437600  -467.817000 
13 1 0    24.240900   -10.214800    50.673000 
14 2 0    23.117000   -10.830000    54.331100 
15 1 0    23.681400   -10.345900    51.925200 
16 1 0    23.062200   -11.532500    52.371500 
17 2 0    22.585000   -10.629400    56.506600 
18 2 0    21.508000   -11.520400    53.854000 
19 1 0    22.648000   -11.664400    53.821700 
20 1 0    24.492100    -9.888760    57.355700 
21 1 0    23.572000   -12.443800    50.134200 
22 1 0    23.020000   -12.574400    51.372700 
23 1 0    23.134600   -12.960200    54.499300 
24 1 0    24.245800   -13.114900    55.333400 
25 1 0    23.155300   -10.378600    57.437500 
26 2 0    24.830300   -12.223200    55.644400 
27 3 0    25.209900    -9.726300    56.170300 
28 2 0    22.564900   -13.559600    51.670300 
29 2 0    21.445200   -14.008400    53.613500 
30 1 0    22.372100   -14.116200    54.206200 
31 1 0    24.615000   -14.368500    55.811600 
32 2 0  -433.806000    55.350100  -469.590000 
33 2 0    25.530200   -14.069200    52.543900 
34 2 0    21.391600   -14.502500    57.820600 
35 2 0    25.423900   -14.460500    56.519900 
36 2 0    26.308200    -7.838930    56.756100 
37 2 0    26.070300    -8.503040    54.282500 
38 1 0    26.492700    -8.898450    56.261100 
39 1 0    98.358000    57.486700    56.880800 
