#DETDA molecule
936 atoms
4 atom types

-1.5000000000000000e+01 5.0000000000000000e+01 xlo xhi
-1.5000000000000000e+01 5.0000000000000000e+01 ylo yhi
-1.5000000000000000e+01 5.0000000000000000e+01 zlo zhi

Masses

1 12
2 1.008
3 15.999
4 14

Atoms

1 2 0   -71.984400     8.762780   -78.733200 
2 2 0   -72.247000     9.046880   -72.935700 
3 1 0   -71.960100     9.362870   -77.788700 
4 2 0   -71.242500     8.703670   -77.166900 
5 2 0   -65.918900     9.285830   -74.489800 
6 2 0   -70.720100     9.134120   -79.917400 
7 2 0   -67.073000     9.115550   -72.396700 
8 1 0   -72.233900    10.091400   -72.614700 
9 1 0   -73.226400    12.287400   -72.540500 
10 1 0   -73.284700    10.937900   -72.836900 
11 2 0   -76.065900    12.151700   -72.722700 
12 3 0   -74.183300    13.226600   -73.064400 
13 2 0   -74.216600    10.558700   -73.288400 
14 2 0   -75.402000    11.875400   -74.288100 
15 1 0   -75.452200    12.643400   -73.505600 
16 1 0   -76.339900    13.699100   -74.167600 
17 2 0   -76.644900    14.460600   -73.457300 
18 2 0   -72.574200    10.316200   -75.720800 
19 3 0   -77.028200    13.398200   -75.378600 
20 2 0   -74.848100    13.834700   -75.935700 
21 1 0   -75.846400    14.175800   -75.632800 
22 2 0   -75.894000    15.269100   -75.838800 
23 2 0   -72.996700     9.362910   -77.347100 
24 4 0   -72.424800    11.408300   -75.809000 
25 2 0   -72.604300    12.267200   -75.199400 
26 2 0   -72.569700    14.228500   -75.886800 
27 2 0   -68.156700    10.574100   -78.385300 
28 2 0   -65.742500     9.894650   -79.176500 
29 1 0   -66.231800    10.891300   -79.122600 
30 1 0   -69.483700    10.590900   -74.312100 
31 2 0   -69.307600    11.127900   -76.356500 
32 2 0   -70.583100    10.827100   -74.339400 
33 3 0   -66.666900    10.299500   -76.766200 
34 1 0   -67.449800    10.213600   -75.608100 
35 1 0   -67.192900    10.953500   -77.954800 
36 1 0   -66.934000     9.647330   -74.436200 
37 1 0   -67.573800     9.604660   -73.213800 
38 1 0   -68.900100    10.047800   -73.155400 
39 1 0   -68.775200    10.673600   -75.483200 
40 1 0   -69.740700     9.836760   -71.872000 
41 1 0   -71.057100    10.601400   -71.983000 
42 1 0   -65.114200    11.992200   -79.435600 
43 2 0   -65.007500    12.562700   -78.510200 
44 2 0   -67.565900    11.983000   -77.965000 
45 1 0   -70.707200    11.057800   -79.172700 
